"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"21-0008426","0","02/15/2021","09:52:21","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","900 ","Outside or special property, Other                ","276     ","  ","TREMONT                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008429","0","02/15/2021","10:12:54","113 ","Cooking fire, confined to container               ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","400 ","Residential, Other                                ","39      ","  ","LEXINGTON                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008431","0","02/15/2021","10:22:02","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","75      ","  ","SAINT ALPHONSUS          ","  ","ST  ",": #14-2365                              ","  ","                         ","  ","    "
"21-0008432","0","02/15/2021","10:23:08","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","400 ","Residential, Other                                ","495-497 ","  ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008433","0","02/15/2021","10:24:07","553 ","Public service                                    ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","439 ","Boarding/rooming house, residential hotels        ","249     ","  ","RIVER                    ","  ","ST  ",": @LTC-THE FOLEY SENIOR RESIDENCES      ","  ","                         ","  ","    "
"21-0008435","0","02/15/2021","10:48:49","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","419 ","1 or 2 family dwelling                            ","59      ","  ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008436","0","02/15/2021","10:56:59","621 ","Wrong location                                    ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","000 ","Property Use, Other                               ","11      ","  ","MULVEY                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008439","0","02/15/2021","11:14:49","553 ","Public service                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02113     ","460 ","Dormitory-type residence, other                   ","1       ","  ","MICHELANGELO             ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008441","0","02/15/2021","11:16:26","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","400 ","Residential, Other                                ","495     ","  ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008442","0","02/15/2021","11:16:32","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","    ","","        ","  ","MELNEA CASS              ","  ","BLVD","                                        ","  ","HARRISON                 ","  ","AVE "
"21-0008444","0","02/15/2021","11:31:52","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","75      ","  ","SAINT ALPHONSUS          ","  ","ST  ",": #14-2365                              ","  ","                         ","  ","    "
"21-0008446","0","02/15/2021","11:50:04","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02118     ","400 ","Residential, Other                                ","575-585 ","  ","SHAWMUT                  ","  ","AVE ",": #CLM1349                              ","  ","                         ","  ","    "
"21-0008449","0","02/15/2021","11:57:58","744 ","Detector activation, no fire - unintentional      ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","429 ","Multifamily dwelling                              ","26      ","  ","CHESTNUT                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008450","0","02/15/2021","12:04:08","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","419 ","1 or 2 family dwelling                            ","73      ","  ","NELSON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008451","0","02/15/2021","12:06:15","553 ","Public service                                    ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","962 ","Residential street, road or residential driveway  ","        ","  ","FIRST                    ","  ","AVE ","                                        ","  ","THIRTEENTH               ","  ","ST  "
"21-0008452","0","02/15/2021","12:09:27","744 ","Detector activation, no fire - unintentional      ","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02118     ","429 ","Multifamily dwelling                              ","575-585 ","  ","SHAWMUT                  ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0008454","0","02/15/2021","12:12:59","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","419 ","1 or 2 family dwelling                            ","77      ","  ","WILMINGTON               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0008455","0","02/15/2021","12:22:39","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","161 ","Restaurant or cafeteria                           ","304     ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008457","0","02/15/2021","12:41:29","113 ","Cooking fire, confined to container               ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","160 ","Eating, drinking places, other                    ","709     ","E ","BROADWAY                 ","  ","    ","                                        ","  ","                         ","  ","    "
"21-0008461","0","02/15/2021","12:48:14","553 ","Public service                                    ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","900 ","Outside or special property, Other                ","1873    ","  ","CENTRE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008462","0","02/15/2021","12:50:33","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","241 ","Adult education center, college classroom         ","179     ","  ","LONGWOOD                 ","  ","AVE ",": #21-2363                              ","  ","                         ","  ","    "
"21-0008465","0","02/15/2021","13:23:56","736 ","CO detector activation due to malfunction         ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","77      ","  ","EMPIRE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008467","0","02/15/2021","13:44:29","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","449 ","Hotel/motel, commercial                           ","370     ","  ","COMMONWEALTH             ","  ","AVE ",": #14-1584                              ","  ","                         ","  ","    "
"21-0008468","0","02/15/2021","13:46:39","714 ","Central station, malicious false alarm            ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","44      ","  ","MOSELEY                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008469","0","02/15/2021","13:57:33","553 ","Public service                                    ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","429 ","Multifamily dwelling                              ","40      ","  ","ROCKINGHAM               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0008470","0","02/15/2021","13:57:42","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","    ","","112     ","  ","SOUTHAMPTON              ","  ","ST  ",": @SHELTER-SOUTHAMPTON STREET - 112 SOUT","  ","                         ","  ","    "
"21-0008471","0","02/15/2021","14:03:53","411 ","Gasoline or other flammable liquid spill          ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","113     ","  ","SUMNER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008472","0","02/15/2021","14:08:53","554 ","Assist invalid                                    ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","419 ","1 or 2 family dwelling                            ","53      ","  ","LASELL                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008473","0","02/15/2021","14:09:28","553 ","Public service                                    ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","960 ","Street, Other                                     ","15      ","  ","DANA                     ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0008474","0","02/15/2021","14:10:19","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02121     ","900 ","Outside or special property, Other                ","316     ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0008475","0","02/15/2021","14:23:06","900T","BFD Drill                                         ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","962 ","Residential street, road or residential driveway  ","        ","  ","HILLCREST                ","  ","ST  ",":EST LL(-71.1623,42.2790)               ","  ","                         ","  ","    "
"21-0008479","0","02/15/2021","15:10:33","442 ","Overheated motor                                  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","193     ","  ","KELTON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008480","0","02/15/2021","15:15:30","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","900 ","Outside or special property, Other                ","158     ","W ","CANTON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008481","0","02/15/2021","15:16:54","511 ","Lock-out                                          ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","12      ","  ","PAYSON                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0008485","0","02/15/2021","16:03:51","442 ","Overheated motor                                  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","429 ","Multifamily dwelling                              ","36      ","  ","HANCOCK                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008486","0","02/15/2021","16:04:51","400 ","Hazardous condition, Other                        ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","2       ","  ","HOWE                     ","  ","TER ","                                        ","  ","                         ","  ","    "
"21-0008487","0","02/15/2021","16:06:03","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","12   ","MT             ","Mattapan                                          ","02126     ","429 ","Multifamily dwelling                              ","770     ","  ","CUMMINS                  ","  ","HWY ","                                        ","  ","                         ","  ","    "
"21-0008490","0","02/15/2021","16:27:54","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","429 ","Multifamily dwelling                              ","111     ","  ","BEACH                    ","  ","ST  ",": #INS457                               ","  ","                         ","  ","    "
"21-0008492","0","02/15/2021","16:32:11","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","197     ","  ","KELTON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008493","0","02/15/2021","16:57:16","714 ","Central station, malicious false alarm            ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","1280    ","  ","COLUMBIA                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0008494","0","02/15/2021","17:15:52","650 ","Steam, Other gas mistaken for smoke, Other        ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","449 ","Hotel/motel, commercial                           ","131     ","  ","DARTMOUTH                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008496","0","02/15/2021","17:34:20","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","400 ","Residential, Other                                ","130     ","  ","DARTMOUTH                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008497","0","02/15/2021","17:37:08","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","539 ","Household goods, sales, repairs                   ","151     ","  ","HARVARD                  ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0008498","0","02/15/2021","17:40:20","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","960 ","Street, Other                                     ","        ","  ","CAUSEWAY                 ","  ","ST  ",": #1342                                 ","  ","LOMASNEY                 ","  ","WAY "
"21-0008499","0","02/15/2021","18:02:03","424 ","Carbon monoxide incident                          ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","556     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0008500","0","02/15/2021","18:02:11","113 ","Cooking fire, confined to container               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","1840    ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0008501","0","02/15/2021","18:03:59","746 ","Carbon monoxide detector activation, no CO        ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","50      ","  ","ANNUNCIATION             ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0008503","0","02/15/2021","18:08:26","714 ","Central station, malicious false alarm            ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","519 ","Food and beverage sales, grocery store            ","713     ","E ","BROADWAY                 ","  ","    ","                                        ","  ","                         ","  ","    "
"21-0008507","0","02/15/2021","18:21:25","554 ","Assist invalid                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","429 ","Multifamily dwelling                              ","494     ","  ","TREMONT                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008508","0","02/15/2021","18:24:05","651 ","Smoke scare, odor of smoke                        ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","400 ","Residential, Other                                ","34      ","  ","SPARHAWK                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008510","0","02/15/2021","18:31:56","116 ","Fuel burner/boiler malfunction, fire confined     ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","400 ","Residential, Other                                ","9       ","  ","ROCKVILLE                ","  ","PARK","                                        ","  ","                         ","  ","    "
"21-0008511","0","02/15/2021","18:57:50","400 ","Hazardous condition, Other                        ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","122 ","Convention center, exhibition hall                ","326     ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008512","0","02/15/2021","19:19:54","553 ","Public service                                    ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","900 ","Outside or special property, Other                ","        ","  ","GENEVA                   ","  ","AVE ","                                        ","  ","BLUE HILL                ","  ","AVE "
"21-0008514","0","02/15/2021","19:21:47","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","599 ","Business office                                   ","183-191 ","  ","CAMBRIDGE                ","  ","ST  ",": #18-136                               ","  ","                         ","  ","    "
"21-0008515","0","02/15/2021","19:30:02","113 ","Cooking fire, confined to container               ","5.0000","5.0000","03   ","BO             ","Boston                                            ","02113     ","429 ","Multifamily dwelling                              ","7-9     ","  ","HENCHMAN                 ","  ","ST  ",": #15-1233                              ","  ","                         ","  ","    "
"21-0008516","0","02/15/2021","19:31:34","113 ","Cooking fire, confined to container               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","5       ","  ","ROYCE                    ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0008517","0","02/15/2021","20:02:36","151 ","Outside rubbish, trash or waste fire              ","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","900 ","Outside or special property, Other                ","18      ","  ","WESTWIND                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0008518","0","02/15/2021","20:04:17","553 ","Public service                                    ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","960 ","Street, Other                                     ","        ","  ","TRUMAN                   ","  ","PKWY","                                        ","  ","DANA                     ","  ","AVE "
"21-0008519","0","02/15/2021","20:15:44","511 ","Lock-out                                          ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","900 ","Outside or special property, Other                ","75      ","  ","SAINT ALPHONSUS          ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008521","0","02/15/2021","20:21:55","553 ","Public service                                    ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","429 ","Multifamily dwelling                              ","39      ","  ","SAINT JOSEPH             ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008528","0","02/15/2021","21:04:33","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","    ","","112     ","  ","SOUTHAMPTON              ","  ","ST  ",": @SHELTER-SOUTHAMPTON STREET - 112 SOUT","  ","                         ","  ","    "
"21-0008531","0","02/15/2021","21:23:04","511 ","Lock-out                                          ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","963 ","Street or road in commercial area                 ","778     ","  ","DUDLEY                   ","  ","ST  ",": @CVS/PHARMACY - 778 DUDLEY ST, DO     ","  ","                         ","  ","    "
"21-0008532","0","02/15/2021","21:24:21","700 ","False alarm or false call, Other                  ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02113     ","429 ","Multifamily dwelling                              ","57-61   ","  ","SALEM                    ","  ","ST  ",": #INS187                               ","  ","                         ","  ","    "
"21-0008533","0","02/15/2021","21:39:53","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","429 ","Multifamily dwelling                              ","196     ","  ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008534","0","02/15/2021","21:46:19","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","400 ","Residential, Other                                ","280     ","  ","MARTIN LUTHER KING JR    ","  ","BLVD","                                        ","  ","                         ","  ","    "
"21-0008535","0","02/15/2021","21:46:53","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02113     ","429 ","Multifamily dwelling                              ","59      ","  ","SALEM                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008536","0","02/15/2021","21:51:13","118 ","Trash or rubbish fire, contained                  ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","342 ","Doctor, dentist or oral surgeon office            ","6       ","  ","BANTON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008538","0","02/15/2021","22:02:54","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","535     ","E ","FIFTH                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008540","0","02/15/2021","22:03:38","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02121     ","    ","","        ","  ","OTISFIELD                ","  ","ST  ","                                        ","  ","GASTON                   ","  ","ST  "
"21-0008543","0","02/15/2021","22:59:44","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","900 ","Outside or special property, Other                ","114     ","  ","DUDLEY                   ","  ","ST  ",": @BANK OF AMERICA - 114 DUDLEY ST, RX  ","  ","                         ","  ","    "
"21-0008545","0","02/15/2021","23:42:47","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","12      ","  ","HARVARD                  ","  ","TER ","                                        ","  ","                         ","  ","    "
"21-0008546","0","02/15/2021","23:50:53","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","31      ","  ","WALES                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008547","0","02/16/2021","00:37:10","550 ","Public service assistance, Other                  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","921 ","Bridge, trestle                                   ","        ","  ","EVERETT                  ","  ","ST  ","                                        ","  ","BRAINTREE                ","  ","ST  "
"21-0008548","0","02/16/2021","00:52:24","113 ","Cooking fire, confined to container               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","439 ","Boarding/rooming house, residential hotels        ","179     ","  ","SYDNEY                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008553","0","02/16/2021","02:09:15","552 ","Police matter                                     ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","963 ","Street or road in commercial area                 ","        ","  ","CUMMINS                  ","  ","HWY ",": #2596                                 ","  ","HYDE PARK                ","  ","AVE "
"21-0008555","0","02/16/2021","02:25:35","711 ","Municipal alarm system, malicious false alarm     ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","960 ","Street, Other                                     ","        ","  ","CUMMINS                  ","  ","HWY ",": #2596                                 ","  ","HYDE PARK                ","  ","AVE "
"21-0008556","0","02/16/2021","02:31:46","714 ","Central station, malicious false alarm            ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","31      ","  ","WALES                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008558","0","02/16/2021","03:07:25","736 ","CO detector activation due to malfunction         ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","962 ","Residential street, road or residential driveway  ","37      ","  ","CALUMET                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008559","0","02/16/2021","03:35:44","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","400 ","Residential, Other                                ","546     ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0008560","0","02/16/2021","03:50:14","511 ","Lock-out                                          ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","400 ","Residential, Other                                ","97      ","  ","FULLER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008561","0","02/16/2021","04:08:17","522 ","Water or steam leak                               ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","000 ","Property Use, Other                               ","275     ","  ","DORCHESTER               ","  ","AVE ",": #15-721                               ","  ","                         ","  ","    "
"21-0008563","0","02/16/2021","04:31:49","740 ","Unintentional transmission of alarm, Other        ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","429 ","Multifamily dwelling                              ","26      ","  ","ALLSTON                  ","  ","ST  ",": #WYN4491                              ","  ","                         ","  ","    "
"21-0008564","0","02/16/2021","04:45:46","741 ","Sprinkler activation, no fire - unintentional     ","0.0000","0.0000","06   ","BO             ","Boston                                            ","02210     ","449 ","Hotel/motel, commercial                           ","500     ","  ","ATLANTIC                 ","  ","AVE ",": #12-1292                              ","  ","                         ","  ","    "
"21-0008566","0","02/16/2021","04:54:25","553 ","Public service                                    ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02121     ","429 ","Multifamily dwelling                              ","55      ","  ","BRUNSWICK                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008567","0","02/16/2021","04:59:45","600 ","Good intent call, Other                           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","960 ","Street, Other                                     ","        ","  ","ALDIE                    ","  ","ST  ","                                        ","  ","FRANKLIN                 ","  ","ST  "
"21-0008568","0","02/16/2021","05:14:54","440 ","Electrical  wiring/equipment problem, Other       ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","963 ","Street or road in commercial area                 ","86      ","  ","BROWN                    ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0008569","0","02/16/2021","05:17:27","714 ","Central station, malicious false alarm            ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","612-618 ","  ","COLUMBIA                 ","  ","RD  ",": #CLM1199                              ","  ","                         ","  ","    "
"21-0008570","0","02/16/2021","05:21:20","731 ","Sprinkler activation due to malfunction           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","882 ","Parking garage, general vehicle                   ","665     ","  ","BEACON                   ","  ","ST  ",": #AFA8324                              ","  ","                         ","  ","    "
"21-0008572","0","02/16/2021","05:45:29","123 ","Fire in portable building, fixed location         ","0.0000","1000.0000","09   ","RX             ","Roxbury                                           ","02119     ","962 ","Residential street, road or residential driveway  ","25      ","  ","RUGGLES                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008576","0","02/16/2021","06:26:16","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","400 ","Residential, Other                                ","91      ","  ","WASHINGTON               ","  ","ST  ",": #WYN650                               ","  ","                         ","  ","    "
"21-0008579","0","02/16/2021","06:57:01","600 ","Good intent call, Other                           ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","400 ","Residential, Other                                ","95      ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008580","0","02/16/2021","07:05:11","551 ","Assist police or other governmental agency        ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","922 ","Tunnel                                            ","199     ","  ","SUMMER                   ","  ","ST  ",": @MBTA STA-SOUTH STATION TRAIN         ","  ","                         ","  ","    "
"21-0008583","0","02/16/2021","07:19:49","522 ","Water or steam leak                               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","400 ","Residential, Other                                ","96-120  ","  ","BEVERLY                  ","  ","ST  ",": #12-1314                              ","  ","                         ","  ","    "
"21-0008585","0","02/16/2021","07:35:21","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","439 ","Boarding/rooming house, residential hotels        ","459     ","  ","PARK                     ","  ","DR  ","                                        ","  ","                         ","  ","    "
"21-0008587","0","02/16/2021","07:56:25","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","419 ","1 or 2 family dwelling                            ","82      ","  ","LEWISTON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008589","0","02/16/2021","08:31:43","714 ","Central station, malicious false alarm            ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","500 ","Mercantile, business, Other                       ","206-208 ","  ","NEWBURY                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008590","0","02/16/2021","09:23:31","113 ","Cooking fire, confined to container               ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","429 ","Multifamily dwelling                              ","27      ","  ","SPRING                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008592","0","02/16/2021","09:33:40","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","    ","","1000    ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0008596","0","02/16/2021","09:37:11","113 ","Cooking fire, confined to container               ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","429 ","Multifamily dwelling                              ","27      ","  ","SPRING                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008602","0","02/16/2021","09:57:45","553 ","Public service                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","400 ","Residential, Other                                ","30      ","  ","LANCASTER                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0008605","0","02/16/2021","10:05:44","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","400 ","Residential, Other                                ","24      ","  ","BELLFLOWER               ","  ","ST  ",": #12-7262                              ","  ","                         ","  ","    "
